Sensitive,Sex,Study Area,Study Title,Sector,Job Family Hiring,Job Title Hiring,Technical Skills,Comunication,Maturity,Dynamism,Mobility,English,European Residence,Italian Residence,Status
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Engineering,Qualified Consultant,3,3,3,2,1,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Automotive,Engineering,Junior Consultant,2,2,1,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,3,2,3,3,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,3,3,3,3,3,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Female,Engineering,Five-year degree,Unemployed,Engineering,Junior Consultant,2,3,3,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,3,2,2,2,1,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Positive
Not a protected category 26 - 30 years,Female,Engineering,Three-year degree,Automotive,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,1,2,2,2,1,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Unemployed,Engineering,Consultant,2,3,2,2,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,2,3,3,1,3,Yes,Yes,Positive
Not a protected category > 45 years,Male,Other,Professional qualification,Oil and Gas,Tech Consulting & Solutions,Advanced Consultant,2,2,3,3,3,3,Yes,Yes,Positive
Not a protected category > 45 years,Male,Economic,master's degree,Oil and Gas,Tech Consulting & Solutions,Advanced Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Aeronautics,Engineering,Consultant,3,3,3,3,1,3,Yes,No,Negative
Not a protected category 36 - 40 years,Male,Engineering,High school graduation,Others,Not Specified,Not Specified,3,2,3,3,2,2,Yes,Yes,Positive
Not a protected category < 20 years,Female,Engineering,Five-year degree,Energy,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category > 45 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 40 - 45 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,3,3,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Economic,master's degree,Others,Engineering,Junior Consultant,2,1,2,3,3,4,Yes,Yes,Positive
Not a protected category 31 - 35 years,Female,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Other,Professional qualification,Oil and Gas,Not Specified,Not Specified,2,3,2,3,3,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,3,3,3,3,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Informatics,Five-year degree,Energy,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 36 - 40 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Female,Other,Five-year degree,Services and Information Systems,Business & Sales,Junior Business Manager,2,1,1,1,1,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,3,1,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,No,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,3,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,3,3,3,1,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Other,High school graduation,Others,Tech Consulting & Solutions,Technician,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category < 20 years,Female,Engineering,Five-year degree,Aeronautics,Engineering,Qualified Consultant,3,1,3,2,1,4,Yes,No,Positive
Not a protected category 36 - 40 years,Male,Scientific Field,Doctorate,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Informatics,Five-year degree,Others,Engineering,Consultant,2,3,2,3,2,3,Yes,Yes,Positive
Not a protected category 40 - 45 years,Male,Other,Professional qualification,Oil and Gas,Not Specified,Not Specified,3,2,3,4,3,2,Yes,Yes,Positive
Not a protected category > 45 years,Male,Other,High school graduation,Oil and Gas,Not Specified,Not Specified,3,3,2,3,3,2,Yes,No,Negative
Not a protected category 40 - 45 years,Male,Engineering,Five-year degree,Consulting,Business & Sales,Junior Business Manager,3,2,3,2,2,2,Yes,Yes,Positive
Not a protected category 40 - 45 years,Male,Informatics,Five-year degree,Automotive,Business & Sales,Junior Business Manager,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,4,3,Yes,Yes,Negative
Not a protected category > 45 years,Female,Scientific Field,High school graduation,Others,Support,Support,2,3,2,3,2,3,Yes,Yes,Positive
Not a protected category 36 - 40 years,Male,Engineering,Doctorate,Life sciences,Engineering,Qualified Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category > 45 years,Male,NO COLLEGE,High school graduation,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,3,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Energy,Not Specified,Not Specified,2,3,3,3,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Professional qualification,Railway,Engineering,Consultant,3,2,2,3,3,3,Yes,Yes,Positive
Not a protected category > 45 years,Male,NO COLLEGE,High school graduation,Oil and Gas,Not Specified,Not Specified,4,2,2,3,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,2,3,3,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Three-year degree,Oil and Gas,Engineering,Consultant,2,2,2,3,3,2,Yes,Yes,Positive
Not a protected category 26 - 30 years,Female,Engineering,Three-year degree,Life sciences,Engineering,Junior Consultant,2,3,3,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Railway,Engineering,Consultant,2,2,2,3,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Scientific Field,Three-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Automotive,Engineering,Junior Consultant,3,3,4,4,4,4,Yes,Yes,Positive
Not a protected category > 45 years,Male,Other,Professional qualification,Oil and Gas,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,master's degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,master's degree,Energy,Engineering,Junior Consultant,3,3,3,2,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,3,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,3,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,3,2,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,3,3,2,2,3,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,3,2,2,2,1,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,3,3,3,3,1,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Positive
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Life sciences,Engineering,Junior Consultant,3,3,3,3,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Automotive,Engineering,Junior Consultant,2,3,2,3,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Other,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Positive
Not a protected category 20 - 25 years,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,3,2,3,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,3,2,2,3,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,1,2,2,2,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
Not a protected category 20 - 25 years,Female,Engineering,Five-year degree,Consulting,Not Specified,Not Specified,2,3,2,3,3,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,2,3,3,3,4,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,3,3,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Unemployed,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,3,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Unemployed,Engineering,Junior Consultant,2,2,2,2,3,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,1,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Female,Engineering,Five-year degree,Others,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 20 - 25 years,Female,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,2,3,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,1,2,2,1,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Three-year degree,Unemployed,Not Specified,Not Specified,1,2,1,1,1,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,3,2,2,1,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Unemployed,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Other Humanities Subjects,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,NO COLLEGE,High school graduation,Oil and Gas,Not Specified,Not Specified,2,3,3,2,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Female,Other,Three-year degree,Energy,Not Specified,Not Specified,2,2,3,2,2,2,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,3,3,3,3,3,3,Yes,Yes,Negative
Not a protected category > 45 years,Female,Other,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,1,2,2,1,2,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,3,3,2,3,3,2,Yes,Yes,Negative
Not a protected category > 45 years,Male,Other,Professional qualification,Oil and Gas,Not Specified,Not Specified,2,2,3,3,3,2,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Other,High school graduation,Others,Not Specified,Not Specified,3,1,2,2,2,1,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Other,High school graduation,Others,Engineering,Technician,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Aeronautics,Not Specified,Not Specified,2,2,2,2,2,3,Yes,No,Negative
Not a protected category > 45 years,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,3,3,3,3,3,3,Yes,Yes,Negative
Not a protected category > 45 years,Female,Engineering,master's degree,Others,Not Specified,Not Specified,3,3,3,3,1,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Engineering,Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Engineering,Qualified Consultant,3,2,2,2,2,2,Yes,Yes,Positive
Not a protected category > 45 years,Female,Other,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,3,3,Yes,No,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,3,3,3,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Informatics,High school graduation,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category < 20 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Engineering,Three-year degree,Machining - Heavy Industry,Not Specified,Not Specified,2,3,2,3,3,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Life sciences,Not Specified,Not Specified,2,3,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Three-year degree,Automotive,Not Specified,Not Specified,3,2,2,2,2,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,1,1,1,1,3,Yes,Yes,Negative
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Machining - Heavy Industry,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,3,2,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,1,2,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,No,No,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Engineering,Junior Consultant,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,3,3,Yes,Yes,Negative
Not a protected category 20 - 25 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,3,3,2,1,2,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,2,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Professional qualification,Oil and Gas,Not Specified,Not Specified,3,2,2,2,2,1,No,No,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,3,3,2,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category > 45 years,Male,Engineering,Professional qualification,Oil and Gas,Not Specified,Not Specified,3,2,3,2,1,3,Yes,No,Negative
Not a protected category > 45 years,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,No,Positive
Not a protected category 40 - 45 years,Male,Other,High school graduation,Oil and Gas,Not Specified,Not Specified,2,3,3,3,2,2,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,1,1,1,2,2,2,Yes,Yes,Negative
Not a protected category < 20 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,NO COLLEGE,High school graduation,Oil and Gas,Not Specified,Not Specified,2,1,2,2,2,1,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,3,3,2,No,No,Negative
Not a protected category < 20 years,Male,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,3,3,2,2,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Medical Field,High school graduation,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,No,Negative
Not a protected category 36 - 40 years,Male,NO COLLEGE,High school graduation,Oil and Gas,Engineering,Consultant,2,2,2,2,3,3,Yes,Yes,Positive
Not a protected category 36 - 40 years,Female,Other Humanities Subjects,master's degree,Consulting,Support,Support Advanced,2,2,2,2,2,3,Yes,Yes,Positive
Not a protected category 31 - 35 years,Male,Engineering,Five-year degree,Railway,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,2,3,2,3,3,3,No,No,Negative
Not a protected category > 45 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,No,Negative
Not a protected category > 45 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,3,2,3,3,3,2,Yes,No,Negative
Not a protected category 40 - 45 years,Male,Other Humanities Subjects,Five-year degree,Oil and Gas,Not Specified,Not Specified,3,3,3,3,4,3,Yes,No,Negative
Not a protected category > 45 years,Male,Engineering,Professional qualification,Oil and Gas,Not Specified,Not Specified,2,2,2,3,3,3,Yes,No,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,3,3,3,Yes,No,Negative
Not a protected category 26 - 30 years,Male,Engineering,master's degree,Machining - Heavy Industry,Not Specified,Not Specified,1,2,2,2,1,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Female,Engineering,Five-year degree,Automotive,Not Specified,Not Specified,3,3,2,2,2,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,1,1,3,3,Yes,Yes,Negative
Not a protected category < 20 years,Female,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,1,2,1,1,3,Yes,Yes,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,3,1,2,1,1,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Professional qualification,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,No,Negative
Not a protected category 31 - 35 years,Female,Other,Three-year degree,Automotive,Engineering,Consultant,2,2,3,2,3,3,No,No,Positive
Not a protected category > 45 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,3,3,3,3,3,3,No,No,Negative
Not a protected category 40 - 45 years,Male,Engineering,master's degree,Oil and Gas,Not Specified,Not Specified,3,2,3,2,3,3,Yes,Yes,Negative
Not a protected category 40 - 45 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,3,3,3,3,3,3,Yes,No,Negative
Not a protected category 26 - 30 years,Male,Engineering,Three-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category 36 - 40 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,3,2,2,3,3,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Other,High school graduation,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,No,Negative
Not a protected category 31 - 35 years,Male,Informatics,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Other,High school graduation,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,4,Yes,No,Negative
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Services and Information Systems,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Three-year degree,Oil and Gas,Not Specified,Not Specified,3,3,3,3,3,4,Yes,No,Negative
Not a protected category > 45 years,Male,Other,Professional qualification,Oil and Gas,Not Specified,Not Specified,2,2,2,2,3,3,Yes,No,Negative
Not a protected category 26 - 30 years,Female,Medical Field,Five-year degree,Life sciences,Not Specified,Not Specified,2,2,2,1,1,3,Yes,Yes,Positive
Not a protected category > 45 years,Male,Economic,Three-year degree,Energy,Not Specified,Not Specified,2,2,2,2,2,3,Yes,No,Positive
Not a protected category 26 - 30 years,Male,Engineering,Five-year degree,Others,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
Not a protected category > 45 years,Male,Engineering,Five-year degree,Oil and Gas,Not Specified,Not Specified,2,2,2,2,2,3,Yes,Yes,Negative
